nombre,empresa,telefono,email,industria,necesidad,plan_interes
Recepción,Dental Guadalajara,33 3816 8487,dentalguadalajara1@gmail.com,Clínica dental,Necesita captar citas nuevas y resolver dudas de tratamientos fuera de horario,Esencial
Recepción,Odontología Moderna,33 1705 5871,contacto@dentistaenguadalajara.com,Clínica dental,Necesita convertir llamadas y formularios en citas efectivas,Esencial
Recepción,Grupo Dental Guadalajara,33 4496 4462,citas@grupodentalgdl.com,Clínica dental,Necesita atención rápida para revisión ortodoncia y urgencias dentales,Esencial
Recepción,O Dental,33 1786 4100,contacto@odentalgdl.com,Clínica dental,Necesita agendar consultas y filtrar pacientes por tratamiento,Esencial
Recepción,Smile Phi,33 3810 1354,contacto@smilephi.com,Clínica dental,Necesita responder consultas de estética dental y agendar valoraciones,Esencial
Recepción,Esponda Dental,33 1291 9795,contacto@esponda.com,Clínica dental,Necesita captar pacientes de implantes y estética con seguimiento rápido,Integral
Recepción,OrtoGdl,33 3367 1066,info@ortogdl.com,Ortodoncia y odontología pediátrica,Necesita agendar familias y dar seguimiento a tratamientos recurrentes,Integral
Recepción,Ortodoncia Guadalajara,33 1741 2776,ortoguadalajara@gmail.com,Ortodoncia,Necesita captar consultas y resolver dudas por WhatsApp y teléfono,Esencial
Recepción,Punto Dental,33 9627 4631,citas@puntodental.mx,Clínica dental,Necesita responder solicitudes de cita y urgencias con rapidez,Esencial
Recepción,Dentofes,33 3232 0215,dentofes@gmail.com,Clínica dental,Necesita convertir urgencias y consultas en citas agendadas,Esencial
Recepción,Dr. Guillermo Valdés González Dermatología,33 3614 3683,contacto@dermatologoguadalajara.com,Dermatología,Necesita filtrar pacientes y agendar valoraciones dermatológicas sin saturar recepción,Esencial
Recepción,Dermimed,33 3817 6110,citas@dermimed.com.mx,Clínica dermatológica,Necesita atender consultas de dermatología estética y médica en horario extendido,Integral
Recepción,Sara Rizo Spa,33 3615 0302,hola@sararizo.com,Spa y bienestar,Necesita responder llamadas y WhatsApp mientras el equipo atiende en cabina,Integral
Recepción,Life Medical Spa,33 3165 2219,contacto@lifemedicalspa.org,Medicina estética,Necesita convertir valoraciones estéticas en citas y seguimiento comercial,Integral
Damaris Ibarra,Damaris Ibarra Fisioterapia,33 3105 9093,contacto@tufisiopro.com,Fisioterapia,Necesita tomar primeras consultas y seguimiento sin perder mensajes,Esencial
Recepción,Fisionomics,33 1015 1734,contacto@fisionomics.com,Fisioterapia,Necesita agendar valoraciones y distribuir pacientes entre sucursales,Integral
Recepción,Physiohealth,33 1044 5462,contacto@physiohealth.com.mx,Fisioterapia,Necesita responder consultas y agendar rehabilitación de forma constante,Esencial
Recepción,CamináRe,33 1244 0088,clinicacaminare@gmail.com,Fisioterapia,Necesita captar pacientes nuevos y confirmar citas en varias sucursales,Integral
Recepción,Mundo Físico,33 1241 5767,contacto@mundofisico.com,Rehabilitación física,Necesita atender consultas y seguimientos sin depender solo del personal en clínica,Esencial
Recepción,Armonía Física,33 1710 9923,armoniafisica7@gmail.com,Rehabilitación física,Necesita convertir llamadas en citas y dar seguimiento a pacientes,Esencial
Recepción,Dr. Tonatiuh Ávila Rehabilitación,33 3161 7328,contacto@drtonatiuhrehabilitacion.com,Rehabilitación física,Necesita captar pacientes postoperatorios y gestionar agenda de valoración,Esencial
Recepción,Mente Plena,33 1657 9924,pacientes@clinicamenteplena.com,Psicología,Necesita tomar primeras consultas y asignar horarios sin fricción,Esencial
Antonio Serrano,Psicólogo en Guadalajara,33 3395 0083,info@psicologoenguadalajara.com.mx,Psicología,Necesita captar pacientes por web y convertirlos en citas agendadas,Esencial
Recepción,Clínica Kahlo,33 3184 1147,contacto@clinicakahlo.mx,Psicología,Necesita gestionar solicitudes de terapia individual pareja y familiar,Integral
Alejandra Cedeño,Psicóloga Alejandra Cedeño,33 3570 1010,psic.alejandrac@gmail.com,Psicoterapia,Necesita captar pacientes y agendar sesiones iniciales con seguimiento simple,Esencial
